Подсчет слов:
виновата: 1
машина: 1
уехала: 1
встала: 1
шатающихся: 1
ногах: 1
выглядящая: 1
выжившая: 1
девушка: 1
фильмов: 1
про: 1
маньяков: 1
лесенке: 1
спускаясь: 1
Через: 1
дорогу: 1
дом: 1
дойдёт: 1
По: 1
попался: 1
двое: 1
напугались: 1
останавливал: 1
расспросами: 1
хныкала: 1
извинялась: 1
нечего: 1
итоге: 1
входом: 1
квартиру: 1
отправила: 1
попрощалась: 1
помочь: 1
захлопнула: 1
дверь: 1
для: 1
обеих: 1
скинула: 1
пол: 1
душ: 1
изгвазданная: 1
кровать: 1
покрытую: 1
сёминой: 1
шерстью: 1
период: 1
чудовищно: 1
лезет…: 1
лез: 1
Сквозь: 1
мерный: 1
шоссе: 1
капли: 1
протекающего: 1
кондиционера: 1
будто: 1
человеческий: 1
крик: 1
собачий: 1
визг: 1
проецирует: 1
Так: 1
воображает: 1
принимает: 1
желаемое: 1
действительное: 1
наркотиках: 1
которая: 1
прибежала: 1
вроде: 1
бьют: 1
предвещало…: 1
галлюцинаций: 1
таинственных: 1
звуков: 1
бывало: 1
где-то: 1
различала: 1
деле: 1
ведь: 1
любого: 1
Бедный: 1
рукой: 1
простыне: 1
собирая: 1
руку: 1
полинявшую: 1
вернуться: 1
Здесь: 1
сойдёт: 1
переехать: 1
ходить: 1
Записаться: 1
психологу: 1
Лучше: 1
психиатру: 1
Засудить: 1
ублюдка: 1
бешеной: 1
псиной: 1
чтоб: 1
сдохли: 1
лесу…: 1
Вот: 1
раздаются: 1
попытаться: 1
заснуть: 1
чём: 1
думать: 1
приходит: 1
нём: 1
просишь: 1
провалилась: 1
состояние: 1
дрёмы: 1
моментально: 1
заснула: 1
сожалению: 1
проверишь: 1
каком: 1
состоянии: 1
находишься: 1
ощущение: 1
реальности: 1
во: 1
сне: 1
убедительнее: 1
пробуждения: 1
квартире: 1
целовала: 1
безумно: 1
рада: 1
смерть: 1
отпустили: 1
фургона: 1
поняли: 1
Только: 1
поводка: 1
потеряла: 1
хороший: 1
повод: 1
поискать: 1
пошли: 1
дня: 1
отчётливо: 1
стоящие: 1
изломанных: 1
неестественных: 1
позах: 1
волшебных: 1
акробатов: 1
безгубые: 1
растущими: 1
неодетые: 1
разница: 1
искал: 1
оставленную: 1
шашлычниками: 1
закуску: 1
чувствовала: 1
радовался: 1
эта: 1
радость: 1
передавалась: 1
цветущего: 1
высохшего: 1
земли: 1
поющих: 1
птиц: 1
висящего: 1
воздухе: 1
тополиного: 1
пуха: 1
оставшегося: 1
мусора: 1
Почему-то: 1
пугала: 1
место: 1
изломанного: 1
пришли: 1
туда: 1
поводок: 1
оказался: 1
солнечным: 1
светом: 1
разглядеть: 1
огромный: 1
двух: 1
метровый: 1
невероятно: 1
тощий: 1
костями: 1
суставах: 1
покрытых: 1
древесиной: 1
странный: 1
Хотя: 1
ужасал: 1
спокойно: 1
нему: 1
принялся: 1
обнюхивать: 1
ствол: 1
захочешь: 1
брякнула: 1
подумав: 1
мужик: 1
надулся: 1
изнутри: 1
увеличившись: 1
размеров: 1
настоящего: 1
дерева: 1
заскрежетал: 1
проснулась: 1
хлопая: 1
понимая: 1
снится: 1
профукала: 1
Квартира: 1
тиха: 1
За: 1
окном: 1
солнце: 1
греет: 1
по-летнему: 1
дрожит: 1
весёлого: 1
лая: 1
маленькой: 1
пронзительной: 1
собачки: 1
На: 1
руке: 1
приставшая: 1
простыни: 1
Одежда: 1
нечеловечески: 1
воняет: 1
грязью: 1
чужой: 1
«Он: 1
захочешь»: 1
внезапно: 1
прорвало: 1
скрючилась: 1
сползла: 1
кровати: 1
расплакалась: 1
девчонка: 1
расчихалась: 1
забилась: 1
наитупейшим: 1
проворонила: 1
спасти…: 1
отревётся: 1
поедет: 1
наверное: 1
пойдёт: 1
пить: 1
деньги: 1
выпить: 1
потратила: 1
горько-горько: 1
природа: 1
тихо: 1
вторила: 1
грусти: 1
шуршащей: 1
листвой: 1
скрипучими: 1
раскатами: 1
грома: 1
раздававшимися: 1
глубоко: 1
небесах: 1
сердца: 1
крошечного: 1
отделённого: 1
забором: 1
Где-то: 1
прощальный: 1
лай: 1
замолк: 1
навсегда: 1
